.1
.2
.3
4
4*
4ʷ
4ᵈ
5
Alt₁
Alt₂
B
Bd₁
Bd₂
Bw₁
Bw₂
C
Contr
D
Grz
Lob
M
N
P
T
Top
Tᵈ
Ver
