$A(.1)
$A(.2)
$A(.3)
$A(4)
$A(4*)
$A(4ʷ)
$A(4ᵈ)
$A(5)
$A(Alt₁)
$A(Alt₂)
$A(B)
$A(Bd₁)
$A(Bd₂)
$A(Bw₁)
$A(Bw₂)
$A(C)
$A(Contr)
$A(D)
$A(Grz)
$A(Lob)
$A(M)
$A(N)
$A(P)
$A(T)
$A(Tᵈ)
$A(Ver)
